Date Published,NPS ,,,,,
5/07/2018,8,,,,,
24/06/2018,5,,,,,
24/06/2018,7,,,,,
13/06/2018,8,,,,,
8/06/2018,8,,,,,
7/06/2018,6,,,,,
5/06/2018,1,,,,,
4/06/2018,8,,,,,
3/06/2018,10,,,,,
23/05/2018,8,,,,,
21/05/2018,10,,,,,
16/05/2018,0,,,,,
15/05/2018,6,,,,,
9/05/2018,9,,,,,
7/05/2018,9,,,,,
7/05/2018,8,,,,,
6/05/2018,7,,,,,
2/05/2018,10,,,,,
25/04/2018,8,,,,,
23/04/2018,7,,,,,
23/04/2018,8,,,,,
23/04/2018,6,,,,,
23/04/2018,9,,,,,
20/04/2018,8,,,,,
15/04/2018,8,,,,,
10/04/2018,9,,,,,
5/04/2018,2,,,,,
1/04/2018,7,,,,,
31/03/2018,9,,,,,
28/03/2018,3,,,,,
27/03/2018,10,,,,,
26/03/2018,10,,,,,
23/03/2018,4,,,,,
22/03/2018,5,,,,,
19/03/2018,2,,,,,
16/03/2018,10,,,,,
15/03/2018,9,,,,,
14/03/2018,9,,,,,
7/03/2018,7,,,,,
6/03/2018,10,,,,,
5/03/2018,8,,,,,
3/03/2018,8,,,,,
2/03/2018,0,,,,,
2/03/2018,8,,,,,
2/03/2018,8,,,,,
1/03/2018,8,,,,,
27/02/2018,10,,,,,
26/02/2018,0,,,,,
26/02/2018,7,,,,,
23/02/2018,8,,,,,
22/02/2018,8,,,,,
20/02/2018,9,,,,,
13/02/2018,9,,,,,
11/02/2018,7,,,,,
11/02/2018,7,,,,,
31/01/2018,5,,,,,
29/01/2018,5,,,,,
27/01/2018,5,,,,,
27/01/2018,4,,,,,
26/01/2018,5,,,,,
24/01/2018,3,,,,,
23/01/2018,3,,,,,
18/01/2018,10,,,,,
12/01/2018,9,,,,,
10/01/2018,1,,,,,
10/01/2018,9,,,,,
5/01/2018,10,,,,,
5/01/2018,8,,,,,
4/01/2018,9,,,,,
4/01/2018,9,,,,,
1/01/2018,10,,,,,
31/12/2017,10,,,,,
31/12/2017,10,,,,,
30/12/2017,10,,,,,
29/12/2017,1,,,,,
24/12/2017,9,,,,,
23/12/2017,2,,,,,
21/12/2017,8,,,,,
18/12/2017,4,,,,,
18/12/2017,0,,,,,
18/12/2017,10,,,,,
18/12/2017,9,,,,,
17/12/2017,10,,,,,
26/11/2017,10,,,,,
25/11/2017,9,,,,,
20/11/2017,1,,,,,
20/11/2017,10,,,,,
14/11/2017,10,,,,,
13/11/2017,9,,,,,
12/11/2017,9,,,,,
12/11/2017,10,,,,,
12/11/2017,10,,,,,
11/11/2017,9,,,,,
11/11/2017,3,,,,,
11/11/2017,9,,,,,
9/11/2017,2,,,,,
7/11/2017,1,,,,,
4/11/2017,9,,,,,
4/11/2017,8,,,,,
2/11/2017,10,,,,,
1/11/2017,9,,,,,
30/10/2017,10,,,,,
29/10/2017,9,,,,,
29/10/2017,9,,,,,
29/10/2017,9,,,,,
28/10/2017,2,,,,,
26/10/2017,9,,,,,
23/10/2017,3,,,,,
22/10/2017,9,,,,,
22/10/2017,9,,,,,
8/10/2017,10,,,,,
6/10/2017,10,,,,,
2/10/2017,0,,,,,
2/10/2017,10,,,,,
29/09/2017,10,,,,,
28/09/2017,10,,,,,
23/09/2017,3,,,,,
16/09/2017,6,,,,,
16/09/2017,10,,,,,
14/09/2017,10,,,,,
14/09/2017,10,,,,,
14/09/2017,8,,,,,
8/09/2017,9,,,,,
4/09/2017,10,,,,,
31/08/2017,10,,,,,
15/08/2017,10,,,,,
8/08/2017,8,,,,,
7/08/2017,2,,,,,
6/08/2017,9,,,,,
5/08/2017,2,,,,,
3/08/2017,9,,,,,
31/07/2017,10,,,,,
30/07/2017,9,,,,,
27/07/2017,4,,,,,
24/07/2017,9,,,,,
21/07/2017,10,,,,,
20/07/2017,7,,,,,
19/07/2017,9,,,,,
18/07/2017,1,,,,,
16/07/2017,9,,,,,
16/07/2017,5,,,,,
11/07/2017,10,,,,,
11/07/2017,9,,,,,
11/07/2017,10,,,,,
11/07/2017,7,,,,,
10/07/2017,2,,,,,
8/07/2017,1,,,,,
30/06/2017,6,,,,,
30/06/2017,9,,,,,
28/06/2017,9,,,,,
22/06/2017,7,,,,,
22/06/2017,8,,,,,
21/06/2017,2,,,,,
16/06/2017,9,,,,,
14/06/2017,4,,,,,
13/06/2017,1,,,,,
13/06/2017,9,,,,,
12/06/2017,8,,,,,
8/06/2017,2,,,,,
8/06/2017,9,,,,,
2/06/2017,10,,,,,
31/05/2017,9,,,,,
30/05/2017,10,,,,,
30/05/2017,10,,,,,
27/05/2017,4,,,,,
26/05/2017,7,,,,,
21/05/2017,9,,,,,
20/05/2017,7,,,,,
19/05/2017,8,,,,,
18/05/2017,1,,,,,
12/05/2017,1,,,,,
21/04/2017,10,,,,,
19/04/2017,10,,,,,
19/04/2017,1,,,,,
19/04/2017,9,,,,,
13/04/2017,9,,,,,
7/04/2017,9,,,,,
5/04/2017,4,,,,,
27/03/2017,9,,,,,
27/03/2017,7,,,,,
25/03/2017,8,,,,,
24/03/2017,6,,,,,
23/03/2017,5,,,,,
22/03/2017,5,,,,,
